N_blocks,S_norm_final,W_latent,beta_value,decreased,dtype,forward_ms,max_deviation,mean_norm,recurrence_pct,recurrence_total_ms,regime,test,value,value_kib
20,2.4375,1,0.0067,,torch.bfloat16,9.449184313416481,,,51.580288256701834,4.873916506767273,init,recurrence_cost,,
20,8.5625,1,0.05,,torch.bfloat16,9.441864490509033,,,51.777938263296974,4.888802766799927,early,recurrence_cost,,
20,4785074604081152.0,1,0.5,,torch.bfloat16,9.4365363009274,,,51.56113154078139,4.865584895014763,stress,recurrence_cost,,
10,2.4375,2,0.0067,,torch.bfloat16,9.102509077638388,,,53.73332495578691,4.891080781817436,init,recurrence_cost,,
10,8.5625,2,0.05,,torch.bfloat16,9.099715389311314,,,53.8205019166911,4.897512495517731,early,recurrence_cost,,
10,4785074604081152.0,2,0.5,,torch.bfloat16,9.10335760563612,,,53.54038144238286,4.87397238612175,stress,recurrence_cost,,
4,2.4375,5,0.0067,,torch.bfloat16,8.656713739037514,,,56.338519721130616,4.877064377069473,init,recurrence_cost,,
4,8.5625,5,0.05,,torch.bfloat16,8.641311712563038,,,56.420786473489386,4.875496029853821,early,recurrence_cost,,
4,4785074604081152.0,5,0.5,,torch.bfloat16,8.63996036350727,,,56.51058476676104,4.882492125034332,stress,recurrence_cost,,
2,2.4375,10,0.0067,,torch.bfloat16,8.558070659637451,,,57.07991713365176,4.884939640760422,init,recurrence_cost,,
2,8.5625,10,0.05,,torch.bfloat16,8.544725738465786,,,57.17440370062903,4.885395988821983,early,recurrence_cost,,
2,4785074604081152.0,10,0.5,,torch.bfloat16,8.550647366791964,,,56.97018916190985,4.871319979429245,stress,recurrence_cost,,
,,,,,torch.bfloat16,,,,,,,state_bytes_per_layer,393216,384.0
,,,,,,,1.7881393432617188e-07,1.0,,,,rope_l2_preservation,,
,,,,1,,,,,,,,loss_decrease_toy_training,,
