N_blocks,S_norm_final,W_latent,beta_value,decreased,dtype,forward_ms,max_deviation,mean_norm,recurrence_pct,recurrence_total_ms,regime,test,value,value_kib
20,2.4375,1,0.0067,,torch.bfloat16,3.506928961724043,,,51.411242536687276,1.8029557541012764,init,recurrence_cost,,
20,8.5625,1,0.05,,torch.bfloat16,3.3853053115308285,,,52.67649385180333,1.7832601442933083,early,recurrence_cost,,
20,4855443348258816.0,1,0.5,,torch.bfloat16,3.37664857506752,,,53.3713855572553,1.8021641299128532,stress,recurrence_cost,,
10,2.4375,2,0.0067,,torch.bfloat16,2.7413206174969673,,,66.25743093883798,1.81632861495018,init,recurrence_cost,,
10,8.5625,2,0.05,,torch.bfloat16,2.7686024084687233,,,64.4570800469139,1.7845602706074715,early,recurrence_cost,,
10,4855443348258816.0,2,0.5,,torch.bfloat16,2.7411663439124823,,,65.47286240251796,1.7947200685739517,stress,recurrence_cost,,
4,2.4375,5,0.0067,,torch.bfloat16,2.425712998956442,,,74.02245152259118,1.7955722287297249,init,recurrence_cost,,
4,8.5625,5,0.05,,torch.bfloat16,2.364811487495899,,,75.75453972259734,1.791452057659626,early,recurrence_cost,,
4,4855443348258816.0,5,0.5,,torch.bfloat16,2.372671337798238,,,75.80469340513635,1.7985962331295013,stress,recurrence_cost,,
2,2.4375,10,0.0067,,torch.bfloat16,2.24331421777606,,,79.81765406590326,1.790560781955719,init,recurrence_cost,,
2,8.5625,10,0.05,,torch.bfloat16,2.230183081701398,,,80.57329348574338,1.7969319596886635,early,recurrence_cost,,
2,4855443348258816.0,10,0.5,,torch.bfloat16,2.2342112381011248,,,80.30163661549109,1.7941081896424294,stress,recurrence_cost,,
,,,,,torch.bfloat16,,,,,,,state_bytes_per_layer,393216,384.0
,,,,,,,1.1920928955078125e-07,1.0,,,,rope_l2_preservation,,
,,,,1,,,,,,,,loss_decrease_toy_training,,
